                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90201,                 2.5671,                 1.7091,                0.00333,                      1,                0.99452,                0.74376,                0.81878,                 2.9178,                  2.705,                 0.0003,                 0.0003,                 0.0003
                      2,                 0.4484,                 1.3769,                  1.296,                      1,                0.97096,                  0.995,                0.80386,                0.89904,                 2.5065,                 2.5046,             0.00055862,             0.00055862,             0.00055862
                      3,                 0.4525,                 1.1636,                 1.2663,                      1,                0.74459,                0.99315,                0.84946,                0.75786,                 2.5713,                 1.9147,             0.00075388,             0.00075388,             0.00075388
                      4,                0.42923,                 1.0471,                 1.2524,                0.38521,                0.31707,                0.54059,                0.35794,                 1.1032,                 2.9575,                 1.9633,             0.00088578,             0.00088578,             0.00088578
                      5,                 0.3925,                0.95219,                 1.2192,                0.99821,                      1,                  0.995,                0.86172,                0.63988,                 1.2301,                 1.5818,             0.00095432,             0.00095432,             0.00095432
                      6,                0.39159,                0.84087,                 1.1927,                0.99385,                0.97561,                0.99364,                0.85369,                0.65079,                 1.1459,                 1.5088,              0.0009595,              0.0009595,              0.0009595
                      7,                0.34632,                 0.7623,                  1.166,                0.99635,                      1,                  0.995,                0.88693,                0.52776,                0.92031,                 1.2984,               0.000812,               0.000812,               0.000812
                      8,                0.37834,                 0.7386,                 1.1614,                0.99923,                      1,                  0.995,                 0.8374,                0.77043,                 1.0172,                 1.7232,               0.000812,               0.000812,               0.000812
                      9,                0.36074,                0.69881,                 1.1649,                 0.9987,                      1,                  0.995,                0.87035,                0.57445,                0.82578,                 1.4882,               0.000614,               0.000614,               0.000614
                     10,                0.29812,                0.61973,                 1.1344,                0.99873,                      1,                  0.995,                0.88024,                0.57828,                0.76197,                 1.3899,               0.000416,               0.000416,               0.000416
